name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
QSHARE1B,PROXQP,optimal,0.16425432399999998,569,720081.4584184233,720078.32,225,342,1436,0.00029867399999999997,0.16395564999999998
QSHIP12L,PROXQP,time_limit,1000.0,0,inf,3018876.6,5427,6578,144030,,
CVXQP3_L,PROXQP,time_limit,1000.0,0,inf,115711100.0,10000,17500,102465,,
QPCBLEND,PROXQP,optimal,0.0021086359999999997,13,-0.008908186575636343,-0.0078425409,83,157,657,0.000143562,0.001965074
DUAL3,PROXQP,optimal,0.001348126,1,0.13574734788277967,0.13575584,111,112,12327,0.000585177,0.0007629490000000001
QSHIP12S,PROXQP,optimal,145.44649461,451,3056673.7726173145,3056962.3,2763,3914,44705,0.0038910779999999996,145.442603532
HS21,PROXQP,optimal,7.1841e-05,2,-99.9600161477423,-99.96,2,3,6,2.1859999999999997e-05,4.9981e-05
CVXQP2_L,PROXQP,optimal,154.654661401,22,81842458.2300415,81842458.0,10000,12500,87467,0.013560096999999998,154.641101304
YAO,PROXQP,max_iter_reached,18.333496412,18638,192.14822505937013,197.70426,2002,4002,10004,0.001791432,18.33170498
QSIERRA,PROXQP,optimal,116.807652561,335,23750458.07800944,23750458.0,2036,3263,9582,0.001777402,116.80587515900001
AUG3DC,PROXQP,optimal,0.022224434,1,771.2516166035816,771.26244,3873,4873,14292,0.001823683,0.020400750999999998
LISWET4,PROXQP,optimal,2.2085224059999997,10,24.95521524255389,25.000112,10002,20002,50004,0.008138651,2.200383755
DUAL1,PROXQP,optimal,0.000910012,1,0.035987512958216825,0.035012966,85,86,7201,0.000362465,0.000547547
AUG2DQP,PROXQP,optimal,91.582791601,15,6235880.845977342,6237012.1,20200,30200,80000,0.008693867,91.57409773399999
LISWET8,PROXQP,optimal,2.316662949,10,24.957947611034342,7144.7006,10002,20002,50004,0.008075409,2.30858754
LISWET9,PROXQP,optimal,2.2196162549999996,10,24.957882518619954,1963.2513,10002,20002,50004,0.008067909,2.211548346
QSHIP08S,PROXQP,optimal,150.84361625600002,291,2385721.000605649,2385728.9,2387,3165,32317,0.002911006,150.84070524999998
HUESTIS,PROXQP,optimal,0.158344491,9,348243722047.6669,348246900000.0,10000,10002,40000,0.006589451,0.15175504
QBANDM,PROXQP,optimal,0.301808088,283,16349.740958486687,16352.342,472,777,3023,0.0005888169999999999,0.301219271
QPCBOEI2,PROXQP,optimal,0.015046235,59,8169931.055983649,8171962.3,143,309,1482,0.000240073,0.014806162
DUALC2,PROXQP,optimal,0.0022203579999999995,9,3551.543628754061,3551.3077,7,236,1659,0.000143142,0.002077216
TAME,PROXQP,optimal,6.182099999999999e-05,0,-6.734631991052664e-18,0.0,2,3,8,2.3069999999999998e-05,3.8750999999999995e-05
QISRAEL,PROXQP,optimal,0.048531008,159,25347100.38839387,25347838.0,142,316,3765,0.000359884,0.048171124
QBRANDY,PROXQP,optimal,0.077447944,166,28375.046049793054,28375.115,249,469,2511,0.000417395,0.07703054899999999
AUG3DCQP,PROXQP,optimal,2.196647394,5,993.2408630424809,993.36215,3873,4873,14292,0.001830242,2.194817152
PRIMAL1,PROXQP,optimal,0.004259243,9,-0.0349580600378354,-0.035012965,325,410,6464,0.000335744,0.003923499
CONT-100,PROXQP,optimal,651.3430334899999,15,-4.6443591355676785,-4.6443979,10197,19998,69399,0.009816771,651.333216719
QSHIP04L,PROXQP,optimal,98.907357629,714,2419722.7598955818,2420015.5,2118,2520,8548,0.001568449,98.90578918
DUAL4,PROXQP,optimal,0.000637177,1,0.7457524594333275,0.74609084,75,76,5673,0.000291893,0.00034528399999999996
QAFIRO,PROXQP,optimal,0.000454696,11,-1.591184670101394,-1.5907818,32,59,124,5.8861000000000004e-05,0.00039583500000000003
QSTANDAT,PROXQP,optimal,7.193445734,100,6411.717050542835,6411.8384,1075,1434,5576,0.000900681,7.192545053
HS51,PROXQP,optimal,5.2341e-05,0,1.8562928971732617e-13,8.8817842e-16,5,8,21,2.2151e-05,3.019e-05
QSCSD8,PROXQP,optimal,150.40779364099998,108,940.763342701416,940.76357,2750,3147,16214,0.0021373670000000003,150.405656274
QSCAGR7,PROXQP,optimal,0.051926212,734,26863500.44716023,26865949.0,140,269,602,0.00018854199999999998,0.05173766999999999
QSCAGR25,PROXQP,optimal,0.589923952,806,201718141.2619471,201737940.0,500,971,2282,0.000550887,0.5893730650000001
QPTEST,PROXQP,optimal,9.0441e-05,5,4.372629941329342,4.371875,2,4,10,2.694e-05,6.3501e-05
QSEBA,PROXQP,optimal,3.106671103,234,81481685.43529758,81481801.0,1028,1543,6576,0.001234146,3.1054369569999998
QGROW7,PROXQP,optimal,0.09472408,146,-42798715.358959705,-42798714.0,301,441,3597,0.000436785,0.094287295
CVXQP3_S,PROXQP,optimal,0.0030903579999999996,11,11943.163806817669,11943.432,100,175,994,0.00026136299999999997,0.002828995
STCQP2,PROXQP,optimal,1.223990142,5,22327.269608981784,22327.313,4097,6149,66544,0.00722127,1.2167688719999998
Q25FV47,PROXQP,optimal,184.293957974,1458,13744346.739111597,13744448.0,1571,2391,130523,0.008014669,184.285943305
LISWET7,PROXQP,optimal,2.412639815,10,24.9579087817433,498.84089,10002,20002,50004,0.009879432,2.402760383
DUALC8,PROXQP,optimal,0.001725381,10,18309.078537167745,18309.359,8,511,4096,0.000269843,0.001455538
PRIMALC2,PROXQP,optimal,0.023226837,19,-3551.2928835233374,-3551.3077,231,238,2078,0.000292894,0.022933943
DUAL2,PROXQP,optimal,0.001036332,1,0.033731314306533144,0.033733676,96,97,9112,0.000471405,0.000564927
LISWET1,PROXQP,optimal,2.354938319,10,24.957093155983785,36.122402,10002,20002,50004,0.009956973,2.344981346
QFFFFF80,PROXQP,optimal,6.281228506,167,873145.0734219574,873147.47,854,1378,10635,0.001397817,6.279830689
LISWET11,PROXQP,optimal,2.255834107,10,24.955002832034552,49.523957,10002,20002,50004,0.009073242,2.246760865
AUG3D,PROXQP,optimal,0.027378848,1,554.0600095317193,554.06773,3873,4873,13092,0.002003505,0.025375342999999998
PRIMAL2,PROXQP,optimal,0.0069793070000000006,7,-0.033733534293651314,-0.033733676,649,745,9339,0.000602198,0.006377109
KSIP,PROXQP,optimal,0.655893885,12,0.5754360901441199,0.57579794,20,1021,19938,0.0008455909999999999,0.655048294
PRIMALC1,PROXQP,optimal,0.017232684999999998,13,-6155.2398316984945,-6155.2508,230,239,2529,0.00031299400000000003,0.016919690999999997
PRIMALC8,PROXQP,optimal,0.15242871,12,-18309.420277605393,-18309.43,520,528,5199,0.000571557,0.151857153
QSHARE2B,PROXQP,optimal,0.009225895,134,11702.111775010073,11703.692,79,175,873,0.000179422,0.009046473
MOSARQP1,PROXQP,optimal,0.25127304699999997,16,-952.8796199897715,-952.87544,2500,3200,8512,0.001801563,0.249471484
AUG2D,PROXQP,optimal,24.954468734,5,1687150.492239566,1687411.8,20200,30200,80000,0.016253042,24.938215692
HS53,PROXQP,optimal,0.000168162,1,4.092855588083438,4.0930233,5,8,21,6.681100000000001e-05,0.000101351
CVXQP2_S,PROXQP,optimal,0.0018255129999999997,8,8120.589495716994,8120.9405,100,125,846,0.00020268299999999997,0.0016228299999999998
DTOC3,PROXQP,optimal,522.143305285,18,235.26798939261,235.26248,14999,24997,64989,0.011346282000000001,522.131959003
DPKLO1,PROXQP,optimal,0.000716799,1,0.3700911754498303,0.37009622,133,210,1785,0.00027613299999999997,0.000440666
QSHELL,PROXQP,optimal,205.42486167699997,2372,1572568690888.9426,1572636800000.0,1775,2311,74506,0.004649188,205.420212489
CONT-200,PROXQP,time_limit,1000.0,0,inf,-4.6848759,40397,79998,278799,,
CVXQP1_M,PROXQP,optimal,1.664367422,26,1087509.3860963725,1087511.6,1000,1500,9466,0.00157099,1.662796432
POWELL20,PROXQP,time_limit,1000.0,0,inf,52089583000.0,10000,20000,40000,,
QRECIPE,PROXQP,optimal,0.003385763,21,-266.61600060660646,-266.616,180,271,923,0.000218803,0.00316696
QSCFXM2,PROXQP,optimal,12.081664151999998,1336,27775141.286860004,27776162.0,914,1574,8285,0.00158661,12.080077542
QETAMACR,PROXQP,optimal,2.8234540220000004,109,86759.68510608067,86760.37,688,1088,11613,0.001041103,2.822412919
HS35,PROXQP,optimal,0.000123062,3,0.11109399269890474,0.11111111,3,4,13,3.9701e-05,8.3361e-05
QGFRDXPN,PROXQP,optimal,15.686992145,688,100782228574.3533,100790590000.0,1092,1708,3739,0.001049613,15.685942531999999
QE226,PROXQP,optimal,0.162860916,323,212.64672972739535,212.65343,282,505,4721,0.000663128,0.16219778799999998
LISWET12,PROXQP,optimal,2.3658265179999995,10,24.95469885830198,1736.9274,10002,20002,50004,0.009848032999999999,2.3559784849999996
CVXQP3_M,PROXQP,optimal,8.353023443,66,1362817.5376034945,1362828.7,1000,1750,10215,0.001767342,8.351256100999999
STCQP1,PROXQP,optimal,29.012484940999997,7,155142.51162333385,155143.56,4097,6149,66544,0.0067906649999999995,29.005694276
QSCSD1,PROXQP,optimal,0.5964651209999999,43,8.66666668066982,8.6666667,760,837,4584,0.00082371,0.5956414109999999
LISWET10,PROXQP,optimal,2.31489203,10,24.957528244408877,49.485785,10002,20002,50004,0.009347946,2.305544084
HUES-MOD,PROXQP,optimal,0.06596207400000001,4,34824463.96404317,34824690.0,10000,10002,40000,0.009575749,0.056386325
CVXQP2_M,PROXQP,optimal,2.364981998,13,820155.3107182574,820155.43,1000,1250,8717,0.001959764,2.363022234
DUALC1,PROXQP,optimal,0.001106424,14,6155.128586591631,6155.2508,9,224,2025,0.000220103,0.000886321
QSCTAP2,PROXQP,optimal,55.199946366999995,114,1735.0205204904375,1735.0265,1880,2970,10007,0.002122916,55.197823451
GOULDQP2,PROXQP,optimal,0.42706306,4,0.00031621492456970947,0.00018427534,699,1048,2791,0.0007646199999999999,0.42629844
CVXQP1_S,PROXQP,optimal,0.002993328,14,11590.711192208644,11590.718,100,150,920,0.000250293,0.0027430349999999996
QSCFXM3,PROXQP,optimal,38.107745619,1782,30815154.358690396,30816355.0,1371,2361,11501,0.002564553,38.105181066
STADAT3,PROXQP,time_limit,1000.0,0,inf,-35.779453,4001,12000,27998,,
CONT-201,PROXQP,time_limit,1000.0,0,inf,0.19248337,40397,80595,249996,,
AUG3DQP,PROXQP,optimal,11.651865308,7,675.1886412749018,675.23767,3873,4873,13092,0.0029051869999999996,11.648960120999998
EXDATA,PROXQP,time_limit,1000.0,0,inf,-141.84343,3000,6001,2260500,,
QPCSTAIR,PROXQP,optimal,0.16370143699999998,59,6204167.777015559,6204387.5,467,823,4790,0.001224705,0.16247673199999998
BOYD2,PROXQP,time_limit,1000.0,0,inf,21.256767,93263,279794,517049,,
QBEACONF,PROXQP,optimal,0.040713173,45,164712.27695729973,164712.06,262,435,3673,0.000611807,0.040101366
AUG2DCQP,PROXQP,optimal,122.129380214,16,6496920.823672676,6498134.8,20200,30200,80400,0.011993432,122.117386782
PRIMAL4,PROXQP,optimal,0.036094165,7,-0.7459323199415205,-0.74609083,1489,1564,19008,0.005664912,0.030429253
HS35MOD,PROXQP,optimal,0.00013857099999999998,0,0.24974883119331182,0.25,3,4,13,5.9109999999999995e-05,7.946099999999999e-05
HS76,PROXQP,optimal,0.000170553,5,-4.681036907008614,-4.6818182,4,7,22,5.2601e-05,0.000117952
LISWET3,PROXQP,optimal,3.1261470289999997,10,24.95632729337558,25.00122,10002,20002,50004,0.012980523999999998,3.1131665049999997
QSCTAP3,PROXQP,optimal,136.037266767,100,1438.744479829124,1438.7547,2480,3960,13262,0.0032717719999999996,136.033994995
LASER,PROXQP,optimal,10.822926846999998,19,2409546.229287166,2409601.4,1002,2002,9462,0.002021145,10.820905702
QGROW15,PROXQP,optimal,0.774845649,315,-101693727.70090652,-101693640.0,645,945,7227,0.001285917,0.7735597319999999
QSCFXM1,PROXQP,optimal,0.642892664,646,16882380.02758997,16882692.0,457,787,4456,0.0010197029999999998,0.641872961
STADAT1,PROXQP,time_limit,1000.0,0,inf,-28526864.0,2001,6000,13998,,
QSCTAP1,PROXQP,optimal,0.536784352,356,1415.9392153993786,1415.8611,480,780,2442,0.000825281,0.535959071
QADLITTL,PROXQP,optimal,0.009794816999999999,118,480247.7673722247,480318.86,97,153,637,0.00026568299999999996,0.009529134
QSCRS8,PROXQP,optimal,10.182227785,1218,904.6130224152819,904.56001,1169,1659,4560,0.001489039,10.180738746
HS268,PROXQP,optimal,0.00014646199999999998,0,0.006480807376647135,5.7310705e-07,5,10,55,8.1431e-05,6.503100000000001e-05
LOTSCHD,PROXQP,optimal,0.00022448299999999999,7,2398.2033050130826,2398.4159,12,19,72,9.0211e-05,0.00013427199999999998
GENHS28,PROXQP,optimal,0.000125852,0,0.9261272557312075,0.92717369,10,18,62,7.5221e-05,5.0631e-05
VALUES,PROXQP,optimal,0.033312865,49,-1.396506008079896,-1.3966211,202,203,7846,0.0006118079999999999,0.032701057
UBH1,PROXQP,time_limit,1000.0,0,inf,1.1160008,18009,30009,72012,,
QSCORPIO,PROXQP,optimal,0.147108227,53,1880.2439768111321,1880.5096,358,746,1842,0.0006503290000000001,0.146457898
QSCSD6,PROXQP,optimal,23.351712685,135,50.80255858683736,50.808214,1350,1497,8378,0.004179185,23.347533499999997
LISWET5,PROXQP,optimal,5.153754642,10,24.989353393952115,25.034253,10002,20002,50004,0.02139993,5.132354712
QSTAIR,PROXQP,optimal,0.378121388,231,7985124.4535933705,7985452.8,467,823,6293,0.000999923,0.377121465
QSHIP04S,PROXQP,optimal,42.145280957,485,2424993.6698027914,2424993.7,1458,1860,5908,0.001735173,42.143545784
LISWET2,PROXQP,optimal,2.6739724170000003,10,24.953040336640242,24.998076,10002,20002,50004,0.013245075,2.660727342
HS118,PROXQP,optimal,0.000444736,34,664.821334006946,664.82045,15,32,69,5.2721e-05,0.00039201499999999995
MOSARQP2,PROXQP,optimal,0.012302814,10,-1597.5020913751166,-1597.4821,900,1500,4820,0.0011606359999999998,0.011142177999999999
GOULDQP3,PROXQP,optimal,0.11159659799999999,3,2.0587245092829107,2.062784,699,1048,3838,0.00073042,0.110866178
DUALC5,PROXQP,optimal,0.000958533,3,427.2022237368969,427.23233,8,286,2296,0.00023883299999999998,0.0007197
ZECEVIC2,PROXQP,optimal,0.000161372,5,-4.124999793460514,-4.125,2,4,7,4.3001e-05,0.00011837100000000001
QSHIP08L,PROXQP,time_limit,1000.0,0,inf,2376040.6,4283,5061,86075,,
QFORPLAN,PROXQP,optimal,5.962307646999999,7258,7456323411.092615,7456631500.0,421,582,6112,0.000966113,5.961341534
CONT-101,PROXQP,time_limit,1000.0,0,inf,0.19552733,10197,20295,62496,,
AUG2DC,PROXQP,optimal,16.021109259,5,1818038.6283450755,1818368.1,20200,30200,80400,0.017253611,16.003855648
LISWET6,PROXQP,optimal,2.774592791,10,24.950808715575477,24.995748,10002,20002,50004,0.013823699,2.760769092
QPILOTNO,PROXQP,optimal,319.932107661,2543,4728521.06673969,4728586.9,2172,3147,16105,0.0036026089999999997,319.928505052
STADAT2,PROXQP,time_limit,1000.0,0,inf,-32.626665,2001,6000,13998,,
BOYD1,PROXQP,time_limit,1000.0,0,inf,-61735220.0,93261,93279,745507,,
PRIMALC5,PROXQP,optimal,0.033173477,7,-427.21045253361757,-427.23233,287,295,2869,0.000557608,0.032615869
QGROW22,PROXQP,optimal,2.819801987,379,-149628955.3419146,-149628950.0,946,1386,10837,0.002004788,2.8177971989999997
PRIMAL3,PROXQP,optimal,0.022008631,9,-0.13573218371871013,-0.13575584,745,856,23036,0.001848096,0.020160535
CVXQP1_L,PROXQP,time_limit,1000.0,0,inf,108704800.0,10000,15000,94966,,
QPCBOEI1,PROXQP,optimal,0.11674783700000001,44,11503881.70952928,11503914.0,384,735,4253,0.0007521299999999999,0.115995707
QBORE3D,PROXQP,optimal,0.28974110499999994,137,3100.1214969272364,3100.2008,315,548,1872,0.000618609,0.28912249599999995
QCAPRI,PROXQP,optimal,1.04405068,585,66780330.99756534,66793293.0,353,624,3852,0.0013567599999999998,1.04269392
CONT-300,PROXQP,time_limit,1000.0,0,inf,0.19151232,90597,180895,562496,,
QSC205,PROXQP,optimal,0.017960893999999998,18,-0.00594907125501421,-0.0058139518,203,408,785,0.000382936,0.017577957999999998
CONT-050,PROXQP,optimal,2.924581897,10,-4.5634467983669715,-4.5638509,2597,4998,17199,0.0034535909999999998,2.921128306
S268,PROXQP,optimal,0.000217144,0,0.006480807376647135,5.7310705e-07,5,10,55,0.000123032,9.411200000000001e-05
HS52,PROXQP,optimal,0.00013767199999999998,1,5.326234260148551,5.3266476,5,8,21,4.9301e-05,8.837099999999998e-05
